fecha,REP_ultimo,REP_per,REP_bpa,REP_rentabilidad_por_dividendo,REP_precio_valor_contable,REP_ebitda
2015-05-25,"15,930",,,,,
2015-05-26,"15,765",,,,,
2015-05-27,"15,872",,,,,
2015-05-28,"15,653",,,,,
2015-05-29,"15,475",,,,,
2015-06-01,"15,461",,,,,
2015-06-02,"15,559",,,,,
2015-06-03,"15,564",,,,,
2015-06-04,"15,292",,,,,
2015-06-05,"15,216",,,,,
2015-06-08,"15,064",,,,,
2015-06-09,"15,037",,,,,
2015-06-10,"15,202",,,,,
2015-06-11,"15,260",,,,,
2015-06-12,"15,073",,,,,
2015-06-15,"14,832",,,,,
2015-06-16,"14,886",,,,,
2015-06-17,"14,877",,,,,
2015-06-18,"14,768",,,,,
2015-06-19,"14,668",,,,,
2015-06-22,"15,082",,,,,
2015-06-23,"15,054",,,,,
2015-06-24,"15,018",,,,,
2015-06-25,"15,009",,,,,
2015-06-26,"15,054",,,,,
2015-06-29,"14,418",,,,,
2015-06-30,"14,318",,,,,
2015-07-01,"14,604",,,,,
2015-07-02,"14,632",,,,,
2015-07-03,"14,541",,,,,
2015-07-06,"14,136",,,,,
2015-07-07,"13,850",,,,,
2015-07-08,"13,991",,,,,
2015-07-09,"14,414",,,,,
2015-07-10,"14,791",,,,,
2015-07-13,"15,009",,,,,
2015-07-14,"15,045",,,,,
2015-07-15,"15,150",,,,,
2015-07-16,"15,386",,,,,
2015-07-17,"15,236",,,,,
2015-07-20,"15,245",,,,,
2015-07-21,"15,104",,,,,
2015-07-22,"14,900",,,,,
2015-07-23,"14,686",,,,,
2015-07-24,"14,468",,,,,
2015-07-27,"14,123",,,,,
2015-07-28,"14,304",,,,,
2015-07-29,"14,559",,,,,
2015-07-30,"13,977",,,,,
2015-07-31,"13,909",,,,,
2015-08-03,"13,900",,,,,
2015-08-04,"13,682",,,,,
2015-08-05,"13,800",,,,,
2015-08-06,"13,754",,,,,
2015-08-07,"13,745",,,,,
2015-08-10,"13,904",,,,,
2015-08-11,"13,641",,,,,
2015-08-12,"13,454",,,,,
2015-08-13,"13,400",,,,,
2015-08-14,"13,232",,,,,
2015-08-17,"13,241",,,,,
2015-08-18,"13,082",,,,,
2015-08-19,"12,836",,,,,
2015-08-20,"12,641",,,,,
2015-08-21,"12,227",,,,,
2015-08-24,"11,150",,,,,
2015-08-25,"11,568",,,,,
2015-08-26,"11,286",,,,,
2015-08-27,"11,877",,,,,
2015-08-28,"12,009",,,,,
2015-08-31,"11,595",,,,,
2015-09-01,"11,177",,,,,
2015-09-02,"10,991",,,,,
2015-09-03,"11,118",,,,,
2015-09-04,"10,718",,,,,
2015-09-07,"10,641",,,,,
2015-09-08,"10,664",,,,,
2015-09-09,"10,795",,,,,
2015-09-10,"10,454",,,,,
2015-09-11,"10,150",,,,,
2015-09-14,"10,091",,,,,
2015-09-15,"10,218",,,,,
2015-09-16,"10,441",,,,,
2015-09-17,"10,318",,,,,
2015-09-18,"9,818",,,,,
2015-09-21,"9,741",,,,,
2015-09-22,"9,264",,,,,
2015-09-23,"9,118",,,,,
2015-09-24,"9,145",,,,,
2015-09-25,"9,177",,,,,
2015-09-28,"9,132",,,,,
2015-09-29,"9,300",,,,,
2015-09-30,"9,463",,,,,
2015-10-01,"9,809",,,,,
