fecha,AMS_ultimo,AMS_per,AMS_bpa,AMS_rentabilidad_por_dividendo,AMS_precio_valor_contable,AMS_ebitda
2015-05-13,"40,905",,,,,
2015-05-14,"40,755",,,,,
2015-05-15,"40,940",,,,,
2015-05-18,"41,535",,,,,
2015-05-19,"42,355",,,,,
2015-05-20,"42,305",,,,,
2015-05-21,"42,785",,,,,
2015-05-22,"42,240",,,,,
2015-05-25,"41,805",,,,,
2015-05-26,"41,660",,,,,
2015-05-27,"42,095",,,,,
2015-05-28,"42,355",,,,,
2015-05-29,"41,435",,,,,
2015-06-01,"41,450",,,,,
2015-06-02,"41,385",,,,,
2015-06-03,"37,360",,,,,
2015-06-04,"37,795",,,,,
2015-06-05,"36,900",,,,,
2015-06-08,"36,685",,,,,
2015-06-09,"35,300",,,,,
2015-06-10,"35,335",,,,,
2015-06-11,"36,480",,,,,
2015-06-12,"36,150",,,,,
2015-06-15,"35,325",,,,,
2015-06-16,"35,930",,,,,
2015-06-17,"35,980",,,,,
2015-06-18,"36,130",,,,,
2015-06-19,"35,970",,,,,
2015-06-22,"36,890",,,,,
2015-06-23,"37,315",,,,,
2015-06-24,"36,760",,,,,
2015-06-25,"36,715",,,,,
