fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-05-04,"32,44","3,56",,"12,22","2,64","1.600,59","534,48"
2020-05-05,"32,44","3,56",,"12,22","2,64","1.600,59","534,48"
2020-05-06,"32,44","3,56",,"12,22","2,64","1.600,59","534,48"
2020-05-07,"32,44","3,56",,"12,22","2,64","1.600,59","534,48"
2020-05-12,"32,6","3,31",,"14,42","2,46",1.508,"496,39"
2020-05-13,"32,6","3,31",,"14,42","2,46",1.508,"496,39"
2020-05-14,"32,6","3,31",,"14,42","2,46",1.508,"496,39"
2020-05-15,"32,6","3,31",,"14,42","2,46",1.508,"496,39"
2020-05-18,"32,6","3,31",,"14,42","2,46",1.508,"496,39"
2020-05-19,"32,6","3,31",,"14,42","2,46",1.508,"496,39"
2020-05-20,"32,6","3,31",,"14,42","2,46",1.508,"496,39"
2020-05-21,"32,6","3,31",,"14,42","2,46",1.508,"496,39"
2020-05-22,"32,6","3,31",,"14,42","2,46",1.508,"496,39"
2020-05-26,"56,24","2,06",,"17,11","2,65","1.283,49","316,41"
2020-05-27,"56,24","2,06",,"17,11","2,65","1.283,49","316,41"
2020-05-28,"56,24","2,06",,"17,11","2,65","1.283,49","316,41"
2020-05-29,"56,24","2,06",,"17,11","2,65","1.283,49","316,41"
