fecha,AENA_ultimo,AENA_per,AENA_bpa,AENA_rentabilidad_por_dividendo,AENA_precio_valor_contable,AENA_ebitda
2015-07-27,"101,55",,,,,
2015-07-28,"103,30",,,,,
2015-07-29,"100,80",,,,,
2015-07-30,"100,30",,,,,
2015-07-31,"100,40",,,,,
2015-08-03,"104,00",,,,,
2015-08-04,"104,70",,,,,
2015-08-05,"104,10",,,,,
2015-08-06,"104,25",,,,,
2015-08-07,"103,40",,,,,
2015-08-10,"104,35",,,,,
2015-08-11,"103,65",,,,,
2015-08-12,"103,50",,,,,
2015-08-13,"103,40",,,,,
2015-08-14,"106,15",,,,,
2015-08-17,"105,90",,,,,
2015-08-18,"106,55",,,,,
2015-08-19,"105,05",,,,,
2015-08-20,"102,05",,,,,
2015-08-21,"99,34",,,,,
2015-08-24,"97,56",,,,,
2015-08-25,"100,00",,,,,
2015-08-26,"99,78",,,,,
2015-08-27,"101,35",,,,,
2015-08-28,"101,90",,,,,
2015-08-31,"102,50",,,,,
2015-09-01,"100,00",,,,,
2015-09-02,"100,00",,,,,
2015-09-03,"100,35",,,,,
2015-09-04,"99,95",,,,,
2015-09-07,"99,03",,,,,
2015-09-08,"98,89",,,,,
2015-09-09,"98,90",,,,,
2015-09-10,"98,43",,,,,
2015-09-11,"98,84",,,,,
2015-09-14,"100,00",,,,,
2015-09-15,"99,79",,,,,
2015-09-16,"99,75",,,,,
2015-09-17,"102,25",,,,,
2015-09-18,"101,15",,,,,
2015-09-21,"101,05",,,,,
2015-09-22,"99,10",,,,,
2015-09-23,"97,33",,,,,
2015-09-24,"96,75",,,,,
2015-09-25,"98,90",,,,,
2015-09-28,"98,85",,,,,
2015-09-29,"97,30",,,,,
2015-09-30,"98,75",,,,,
2015-10-01,"100,45",,,,,
2015-10-02,"100,00",,,,,
2015-10-05,"103,05",,,,,
2015-10-06,"103,00",,,,,
2015-10-07,"102,95",,,,,
2015-10-08,"105,00",,,,,
2015-10-09,"101,20",,,,,
2015-10-12,"101,10",,,,,
2015-10-13,"102,20",,,,,
2015-10-14,"101,95",,,,,
2015-10-15,"103,25",,,,,
2015-10-16,"104,00",,,,,
2015-10-19,"103,75",,,,,
2015-10-20,"103,50",,,,,
2015-10-21,"103,50",,,,,
2015-10-22,"102,75",,,,,
2015-10-23,"102,65",,,,,
2015-10-26,"102,60",,,,,
2015-10-27,"102,25",,,,,
2015-10-28,"101,05",,,,,
2015-10-29,"101,45",,,,,
2015-10-30,"101,50",,,,,
2015-11-02,"100,55",,,,,
2015-11-03,"100,25",,,,,
2015-11-04,"98,90",,,,,
2015-11-05,"100,20",,,,,
2015-11-06,"101,35",,,,,
2015-11-09,"99,55",,,,,
2015-11-10,"100,00",,,,,
2015-11-11,"100,40",,,,,
2015-11-12,"100,35",,,,,
2015-11-13,"100,95",,,,,
2015-11-16,"101,80",,,,,
2015-11-17,"104,50",,,,,
