fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-05-04,"79,16","0,29","3,28","57,2","4,38","479,92",196
2020-05-05,"79,16","0,29","3,19","57,2","4,38","479,92",196
2020-05-06,"79,16","0,29","3,22","57,2","4,38","479,92",196
2020-05-07,"79,16","0,29","3,24","57,2","4,38","479,92",196
2020-05-12,"81,59","0,29","3,04","58,96","4,51","479,92","144,19"
2020-05-13,"81,59","0,29","3,02","58,96","4,51","479,92","144,19"
2020-05-14,"81,59","0,29","3,18","58,96","4,51","479,92","144,19"
2020-05-15,"81,59","0,29","3,18","58,96","4,51","479,92","144,19"
2020-05-18,"81,59","0,29","3,14","58,96","4,51","479,92","144,19"
2020-05-19,"81,59","0,29","3,16","58,96","4,51","479,92","144,19"
2020-05-20,"81,59","0,29","3,14","58,96","4,51","479,92","144,19"
2020-05-21,"81,59","0,29","3,15","58,96","4,51","479,92","144,19"
2020-05-22,"81,59","0,29","3,15","58,96","4,51","479,92","144,19"
2020-05-26,"134,06","0,17","2,96","56,75","4,31","415,41",117
2020-05-27,"134,06","0,17","1,68","56,75","4,31","415,41",117
2020-05-28,"134,06","0,17","1,64","56,75","4,31","415,41",117
2020-05-29,"134,06","0,17","1,67","56,75","4,31","415,41",117
