ultimo,apertura,maximo,minimo,vol,variacion
8940.1,9066.5,9071.5,8900.8,140.37,-1.15
9044.1,8954.7,9046.3,8930.4,131.08,0.92
8961.8,8944.2,8961.8,8858.6,148.75,0.67
8902.2,8935.8,8971.4,8850.6,152.59,-0.11
8912.2,9150.1,9157.1,8912.2,193.95,-2.77
9165.9,9277.0,9298.8,9165.1,150.85,-0.85
9244.6,9194.8,9257.3,9189.6,177.88,0.66
9184.1,9149.7,9210.5,9131.0,127.03,0.6
9129.7,9064.6,9143.0,9061.4,132.27,0.49
9085.3,9087.2,9119.2,9000.9,148.05,-0.36
9118.2,9116.1,9154.2,9103.8,139.48,0.27
9093.6,9154.9,9168.3,9055.9,161.36,-0.93
9179.0,9137.0,9210.9,9132.2,405.54,0.47
9136.0,9043.1,9138.5,9027.8,168.88,1.15
9031.7,9016.5,9049.7,8963.8,182.24,0.31
9004.2,9050.6,9052.1,8975.8,221.43,-0.53
9052.0,9099.9,9101.2,9049.0,174.34,-0.94
9137.9,9099.8,9153.5,9084.3,226.2,0.61
9082.3,9078.1,9112.9,8994.3,231.32,0.25
9059.5,9109.3,9124.0,9029.4,212.02,-0.21
9078.2,9007.4,9088.1,8947.7,265.63,0.75
9010.6,8997.7,9026.3,8987.6,179.01,0.23
8990.1,8992.8,9025.9,8958.6,168.79,-0.03
8992.7,8913.0,8995.4,8908.1,215.61,1.54
8856.6,8872.3,8904.5,8856.6,169.52,0.54
8809.2,8806.8,8828.8,8772.8,158.82,-0.07
8815.5,8810.8,8858.4,8804.9,97.95,0.03
8812.9,8808.0,8858.8,8797.1,146.44,0.21
8794.3,8728.2,8841.1,8725.9,142.7,0.54
8747.1,8711.5,8753.8,8678.9,107.4,0.21
8728.9,8682.2,8767.9,8662.1,156.83,0.57
8679.2,8603.3,8702.0,8592.2,86.67,0.34
8649.5,8764.4,8782.6,8649.5,133.61,-0.77
8716.4,8684.4,8806.4,8675.6,143.42,0.17
8701.5,8645.9,8722.9,8644.3,109.02,0.97
8618.3,8707.1,8727.6,8618.3,140.09,-1.32
8733.3,8726.9,8774.6,8701.9,149.33,0.73
8670.4,8530.0,8671.3,8530.0,307.07,1.78
8519.0,8551.1,8566.5,8409.1,186.02,-0.04
8522.7,8684.0,8684.0,8497.8,193.78,-1.98
8695.1,8628.2,8782.3,8610.1,200.74,0.22
8676.4,8796.9,8811.5,8675.8,141.74,-0.93
8757.8,8814.1,8825.6,8740.3,157.54,-1.25
8869.0,8828.8,8869.0,8790.5,161.82,1.41
8746.1,8743.7,8820.9,8679.8,175.61,0.54
8699.4,8774.6,8820.9,8699.4,177.52,-0.89
8777.2,8824.0,8864.5,8752.9,182.75,-1.35
8897.6,8905.7,8997.1,8870.5,236.59,-1.56
9038.2,8947.6,9038.2,8939.4,148.85,0.75
8971.0,8993.6,9003.6,8946.4,175.71,-0.17
8986.6,9216.4,9216.4,8956.8,229.9,-2.48
9215.4,9201.3,9258.1,9194.4,143.2,-0.11
9225.5,9281.1,9291.9,9204.8,220.71,-0.69
