ultimo,apertura,maximo,minimo,vol,variacion,deuda_publica,ipc,tasa_paro,pib
11384.6,11400.2,11418.8,11306.4,209.41,0.22,1036739.44,-0.64,22.37,1.07
11422.3,11439.0,11504.0,11368.2,337.59,0.33,1036739.44,-0.64,22.37,1.07
11399.2,11452.2,11480.4,11276.3,306.27,-0.2,1036739.44,-0.64,22.37,1.07
11425.8,11417.5,11461.1,11291.3,244.09,0.23,1036739.44,-0.64,22.37,1.07
11505.4,11469.6,11605.5,11434.6,340.44,0.7,1036739.44,-0.64,22.37,1.07
11640.2,11532.0,11679.8,11365.5,310.81,1.17,1036739.44,-0.64,22.37,1.07
11607.7,11656.0,11684.6,11543.0,280.72,-0.28,1036739.44,-0.64,22.37,1.07
11378.9,11619.0,11651.9,11371.5,310.36,-1.97,1036739.44,-0.64,22.37,1.07
11385.0,11351.1,11469.2,11258.0,386.58,0.05,1036739.44,-0.64,22.37,1.07
11429.1,11377.1,11501.8,11280.5,224.66,0.39,1044562.17,-0.18,22.37,1.07
11115.6,11416.4,11503.9,11102.9,319.65,-2.74,1044562.17,-0.18,22.37,1.07
11163.6,11100.4,11232.8,11048.3,275.55,0.43,1044562.17,-0.18,22.37,1.07
11180.3,11125.1,11214.8,10928.2,322.77,0.15,1044562.17,-0.18,22.37,1.07
11424.7,11260.8,11424.7,11212.9,309.36,2.19,1044562.17,-0.18,22.37,1.07
11445.8,11433.7,11481.6,11377.7,198.98,0.18,1044562.17,-0.18,22.37,1.07
11322.6,11332.0,11354.0,11221.5,292.9,-1.08,1044562.17,-0.18,22.37,1.07
11324.6,11366.0,11430.9,11282.4,249.28,0.02,1044562.17,-0.18,22.37,1.07
11398.7,11304.6,11428.3,11203.9,211.84,0.65,1044562.17,-0.18,22.37,1.07
11317.3,11438.8,11438.8,11265.9,230.82,-0.71,1044562.17,-0.18,22.37,1.07
11345.0,11336.8,11368.0,11203.1,234.03,0.24,1044562.17,-0.18,22.37,1.07
11497.7,11406.1,11537.8,11404.0,282.09,1.35,1044562.17,-0.18,22.37,1.07
11574.1,11505.1,11588.7,11460.6,192.41,0.66,1044562.17,-0.18,22.37,1.07
11595.4,11517.9,11595.4,11515.7,185.43,0.18,1044562.17,-0.18,22.37,1.07
11554.2,11594.7,11609.9,11533.7,168.22,-0.36,1044562.17,-0.18,22.37,1.07
11322.3,11421.2,11455.3,11262.1,156.48,-2.01,1044562.17,-0.18,22.37,1.07
11240.3,11297.1,11344.7,11169.4,315.13,-0.72,1044562.17,-0.18,22.37,1.07
11431.1,11281.7,11467.8,11247.2,241.03,1.7,1044562.17,-0.18,22.37,1.07
11382.8,11387.9,11450.7,11291.9,191.89,-0.42,1044562.17,-0.18,22.37,1.07
11217.6,11375.6,11402.7,11192.1,327.77,-1.45,1044562.17,-0.18,22.37,1.07
11238.1,11264.8,11343.2,11180.5,194.25,0.18,1055900.81,0.06,22.37,1.07
11271.4,11314.5,11369.1,11151.3,232.39,0.3,1055900.81,0.06,22.37,1.07
11267.6,11302.9,11361.8,11201.1,227.42,-0.03,1055900.81,0.06,22.37,1.07
11146.1,11201.2,11292.7,11070.0,239.54,-1.08,1055900.81,0.06,22.37,1.07
11062.0,11061.5,11127.9,10984.1,227.46,-0.75,1055900.81,0.06,22.37,1.07
10917.3,11022.8,11056.1,10917.3,205.93,-1.31,1055900.81,0.06,22.37,1.07
10938.1,10895.0,10945.0,10750.0,295.3,0.19,1055900.81,0.06,22.37,1.07
11097.5,10879.9,11138.4,10854.4,241.56,1.46,1055900.81,0.06,22.37,1.07
11156.7,11097.6,11231.3,11085.1,243.78,0.53,1055900.81,0.06,22.37,1.07
11030.5,11124.5,11159.3,10932.6,215.49,-1.13,1055900.81,0.06,22.37,1.07
10842.1,10893.6,10939.9,10775.6,223.28,-1.71,1055900.81,0.06,22.37,1.07
10871.4,10766.0,10895.5,10659.7,241.07,0.27,1055900.81,0.06,22.37,1.07
10813.4,10900.0,10933.9,10779.5,189.36,-0.53,1055900.81,0.06,22.37,1.07
10871.9,10788.5,10888.4,10654.3,309.14,0.54,1055900.81,0.06,22.37,1.07
10944.3,10890.7,11029.1,10880.8,354.74,0.67,1055900.81,0.06,22.37,1.07
11368.2,11184.5,11394.2,11168.9,353.6,3.87,1055900.81,0.06,22.37,1.07
11402.5,11461.5,11497.1,11384.5,271.93,0.3,1055900.81,0.06,22.37,1.07
