fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-07-01,"18,25","0,55","3,55","7,79","1,57",10.568,"3.673,52"
2020-07-02,"18,25","0,55","3,43","7,79","1,57",10.568,"3.673,52"
2020-07-07,"19,33","0,56","3,40","8,33","1,68",10.568,3.657
2020-07-08,"19,33","0,56","3,43","8,33","1,68",10.568,3.657
2020-07-09,"19,33","0,56","3,47","8,33","1,68",10.568,3.657
2020-07-10,"19,33","0,56","3,43","8,33","1,68",10.568,3.657
2020-07-14,"19,16","0,56","3,40","8,38","1,69",10.568,3.703
2020-07-15,"19,16","0,56","3,35","8,38","1,69",10.568,3.703
2020-07-20,"19,79","0,56","3,27","8,6","1,75",10.570,3.657
2020-07-21,"19,79","0,56","3,27","8,6","1,75",10.570,3.657
2020-07-22,"19,79","0,56","3,31","8,6","1,75",10.570,3.657
2020-07-23,"19,79","0,56","3,32","8,6","1,75",10.570,3.657
2020-07-27,"19,38","0,57","3,35","8,52","1,75",10.563,"3.623,06"
2020-07-28,"19,38","0,57","3,33","8,52","1,75",10.563,"3.623,06"
2020-07-29,"19,38","0,57","3,32","8,52","1,75",10.563,"3.623,06"
2020-07-31,"19,38","0,57","1,54","8,52","1,75",10.563,"3.623,06"
