"Año";"Periodo";"Deuda pública"
"2019";"Julio";"1.193.767,78"
"2019";"Agosto";"1.196.148,66"
"2019";"Septiembre";"1.203.819,06"
"2019";"Octubre";"1.190.975,07"
"2019";"Noviembre";"1.187.983,04"
"2019";"Diciembre";"1.188.867,21"
"2020";"Enero";"1.195.885,56"
"2020";"Febrero";"1.201.775,45"
"2020";"Marzo";"1.224.160,71"
"2020";"Abril";"1.234.693,96"
;;
;;
"Métrica":"Deuda pública"
"Fuente":"Banco de España"
"Clasificación":""
"Unidad":"Euros"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/asi-aumentado-deuda-publica/f4dcc707-9e28-4d16-aadb-0010a33a4db5/espana/106"
"Titulo":"Evolución de la deuda pública de España"
"Subtitulo":"La deuda pública se sitúa en 1.234.693,96 millones de euros en abril de 2020﻿ "
