fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-04-02,"5,01","0,62","9,72",0,"0,41",0,"4.438,08"
2020-04-03,"5,01","0,62","9,46",0,"0,41",0,"4.438,08"
2020-04-06,"4,74","0,58","8,75",0,"0,37",0,"4.046,81"
2020-04-07,"4,74","0,58","8,88",0,"0,37",0,"4.046,81"
2020-04-08,"4,74","0,58","8,79",0,"0,37",0,"4.046,81"
2020-04-09,"4,74","0,58","8,66",0,"0,37",0,"4.046,81"
2020-04-09,"5,79","0,52","8,66",0,"0,4",0,"3.852,85"
2020-04-14,"5,79","0,52","8,86",0,"0,4",0,"3.852,85"
2020-04-15,"5,79","0,52","9,52",0,"0,4",0,"3.852,85"
2020-04-16,"5,79","0,52","9,91",0,"0,4",0,"3.852,85"
2020-04-17,"5,79","0,52","9,76",0,"0,4",0,"3.852,85"
2020-04-21,"6,83","0,39","10,49",0,"0,36",0,3.184
2020-04-22,"6,83","0,39","10,06",0,"0,36",0,3.184
2020-04-23,"6,83","0,39","9,62",0,"0,36",0,3.184
2020-04-24,"6,83","0,39","10,03",0,"0,36",0,3.184
2020-04-27,"7,8","0,33","9,68",0,"0,35",0,2.656
2020-04-28,"7,8","0,33","8,88",0,"0,35",0,2.656
2020-04-29,"7,8","0,33","8,22",0,"0,35",0,2.656
2020-04-30,"7,8","0,33","8,70",0,"0,35",0,2.656
2020-04-30,"7,8","0,33","8,70",0,"0,35",0,2.656
