fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-05-04,"8,98","0,33","9,29",0,"0,4",0,2.656
2020-05-05,"8,98","0,33","9,29",0,"0,4",0,2.656
2020-05-06,"8,98","0,33","9,56",0,"0,4",0,2.656
2020-05-07,"8,98","0,33","9,65",0,"0,4",0,2.656
2020-05-12,"8,59","0,32","9,77",0,"0,38",0,"2.093,1"
2020-05-13,"8,59","0,32","10,23",0,"0,38",0,"2.093,1"
2020-05-14,"8,59","0,32","9,97",0,"0,38",0,"2.093,1"
2020-05-15,"8,59","0,32","10,09",0,"0,38",0,"2.093,1"
2020-05-18,"8,59","0,32","9,55",0,"0,38",0,"2.093,1"
2020-05-19,"8,59","0,32","10,00",0,"0,38",0,"2.093,1"
2020-05-20,"8,59","0,32","10,07",0,"0,38",0,"2.093,1"
2020-05-21,"8,59","0,32","10,13",0,"0,38",0,"2.093,1"
2020-05-22,"8,59","0,32","10,04",0,"0,38",0,"2.093,1"
2020-05-26,"8,28","0,31","9,20",0,"0,36",0,"1.596,51"
2020-05-27,"8,28","0,31","8,90",0,"0,36",0,"1.596,51"
2020-05-28,"8,28","0,31","8,87",0,"0,36",0,"1.596,51"
2020-05-29,"8,28","0,31","9,31",0,"0,36",0,"1.596,51"
